Saving data to: vna_scan_at_2026-05-14_17-20-33.s2p
[Producer] Starting sweep 1/5
ID Label VNA TimeSent TimeRecv Freq SParam Format Value
20260514_172033 ManualRun 0 0.083557 0.089704 497368420 S21 IMG 3.1073208008e+03
20260514_172033 ManualRun 0 0.089729 0.095833 542105262 S11 REAL 9.9655473232e-01
20260514_172033 ManualRun 0 0.089729 0.095833 542105262 S11 IMG 6.0909604654e-03
20260514_172033 ManualRun 0 0.089729 0.095833 542105262 S21 REAL 2.3267438965e+03
20260514_172033 ManualRun 0 0.089729 0.095833 542105262 S21 IMG -1.6531697998e+03
20260514_172033 ManualRun 0 0.095867 0.101907 586842104 S11 REAL 9.9486958981e-01
20260514_172033 ManualRun 0 0.095867 0.101907 586842104 S11 IMG 7.2688548826e-03
20260514_172033 ManualRun 0 0.095867 0.101907 586842104 S21 REAL 1.6503082275e+01
20260514_172033 ManualRun 0 0.095867 0.101907 586842104 S21 IMG -1.4446900635e+03
20260514_172033 ManualRun 0 0.101941 0.112965 631578946 S11 REAL 9.9719136953e-01
20260514_172033 ManualRun 0 0.101941 0.112965 631578946 S11 IMG 8.6742909625e-03
20260514_172033 ManualRun 0 0.101941 0.112965 631578946 S21 REAL 8.1452764893e+02
20260514_172033 ManualRun 0 0.101941 0.112965 631578946 S21 IMG -2.8081335449e+03
20260514_172033 ManualRun 0 0.113000 0.119119 676315788 S11 REAL 9.9766242504e-01
20260514_172033 ManualRun 0 0.113000 0.119119 676315788 S11 IMG 1.0086369701e-02
20260514_172033 ManualRun 0 0.113000 0.119119 676315788 S21 REAL -3.6518896484e+02
20260514_172033 ManualRun 0 0.113000 0.119119 676315788 S21 IMG -4.6883691406e+03
20260514_172033 ManualRun 0 0.119141 0.125146 721052630 S11 REAL 9.9487471581e-01
20260514_172033 ManualRun 0 0.119141 0.125146 721052630 S11 IMG 1.1316425167e-02
20260514_172033 ManualRun 0 0.119141 0.125146 721052630 S21 REAL 3.5743878174e+02
20260514_172033 ManualRun 0 0.119141 0.125146 721052630 S21 IMG -2.3084467773e+03
20260514_172033 ManualRun 0 0.125164 0.130239 765789472 S11 REAL 9.9257916212e-01
20260514_172033 ManualRun 0 0.125164 0.130239 765789472 S11 IMG 1.3485197909e-02
20260514_172033 ManualRun 0 0.125164 0.130239 765789472 S21 REAL 2.2127814941e+03
20260514_172033 ManualRun 0 0.125164 0.130239 765789472 S21 IMG -8.1600957031e+03
20260514_172033 ManualRun 0 0.130256 0.135337 810526314 S11 REAL 9.8953020573e-01
20260514_172033 ManualRun 0 0.130256 0.135337 810526314 S11 IMG 1.2324925512e-02
20260514_172033 ManualRun 0 0.130256 0.135337 810526314 S21 REAL 3.2505014648e+03
20260514_172033 ManualRun 0 0.130256 0.135337 810526314 S21 IMG -5.8286859131e+02
20260514_172033 ManualRun 0 0.135360 0.140411 855263156 S11 REAL 9.8737227917e-01
20260514_172033 ManualRun 0 0.135360 0.140411 855263156 S11 IMG 1.3196715154e-02
20260514_172033 ManualRun 0 0.135360 0.140411 855263156 S21 REAL 1.8255454102e+03
20260514_172033 ManualRun 0 0.135360 0.140411 855263156 S21 IMG 1.7743037109e+03
[Producer] Starting sweep 2/5
20260514_172033 ManualRun 0 0.140436 0.150698 899999998 S11 REAL 9.7676616907e-01
20260514_172033 ManualRun 0 0.140436 0.150698 899999998 S11 IMG 7.0831896737e-03
20260514_172033 ManualRun 0 0.140436 0.150698 899999998 S21 REAL 5.2109771729e+02
20260514_172033 ManualRun 0 0.140436 0.150698 899999998 S21 IMG -5.2939843750e+02
20260514_172033 ManualRun 0 0.150730 0.162008 50000000 S11 REAL 1.0027279854e+00
20260514_172033 ManualRun 0 0.150730 0.162008 50000000 S11 IMG 1.8014499219e-03
20260514_172033 ManualRun 0 0.150730 0.162008 50000000 S21 REAL -1.4163277344e+04
20260514_172033 ManualRun 0 0.150730 0.162008 50000000 S21 IMG 1.9280812988e+03
20260514_172033 ManualRun 0 0.162043 0.166980 94736842 S11 REAL 1.0024244785e+00
20260514_172033 ManualRun 0 0.162043 0.166980 94736842 S11 IMG 3.3433368662e-04
20260514_172033 ManualRun 0 0.162043 0.166980 94736842 S21 REAL 1.0235155273e+04
20260514_172033 ManualRun 0 0.162043 0.166980 94736842 S21 IMG -9.6943378906e+03
20260514_172033 ManualRun 0 0.167016 0.177419 139473684 S11 REAL 1.0033748150e+00
20260514_172033 ManualRun 0 0.167016 0.177419 139473684 S11 IMG 2.0371046849e-03
20260514_172033 ManualRun 0 0.167016 0.177419 139473684 S21 REAL -5.7591372070e+03
20260514_172033 ManualRun 0 0.167016 0.177419 139473684 S21 IMG -7.6332900391e+03
20260514_172033 ManualRun 0 0.177458 0.183557 184210526 S11 REAL 1.0023699999e+00
20260514_172033 ManualRun 0 0.177458 0.183557 184210526 S11 IMG 3.6271959543e-03
20260514_172033 ManualRun 0 0.177458 0.183557 184210526 S21 REAL 1.2891826172e+03
20260514_172033 ManualRun 0 0.177458 0.183557 184210526 S21 IMG -2.3508011719e+04
20260514_172033 ManualRun 0 0.183620 0.189472 228947368 S11 REAL 1.0013382435e+00
20260514_172033 ManualRun 0 0.183620 0.189472 228947368 S11 IMG 5.9232916683e-03
20260514_172033 ManualRun 0 0.183620 0.189472 228947368 S21 REAL 2.8879853516e+03
20260514_172033 ManualRun 0 0.183620 0.189472 228947368 S21 IMG -6.4405146484e+03
20260514_172033 ManualRun 0 0.189493 0.194600 273684210 S11 REAL 1.0008811951e+00
20260514_172033 ManualRun 0 0.189493 0.194600 273684210 S11 IMG 5.5077983998e-03
20260514_172033 ManualRun 0 0.189493 0.194600 273684210 S21 REAL -1.1446339844e+04
20260514_172033 ManualRun 0 0.189493 0.194600 273684210 S21 IMG -1.8429335938e+04
20260514_172033 ManualRun 0 0.194635 0.205963 318421052 S11 REAL 9.9874126911e-01
20260514_172033 ManualRun 0 0.194635 0.205963 318421052 S11 IMG 3.2581200358e-03
20260514_172033 ManualRun 0 0.194635 0.205963 318421052 S21 REAL -5.8144340820e+03
20260514_172033 ManualRun 0 0.194635 0.205963 318421052 S21 IMG -4.9539101562e+03
20260514_172033 ManualRun 0 0.206001 0.212051 363157894 S11 REAL 9.9827879667e-01
20260514_172033 ManualRun 0 0.206001 0.212051 363157894 S11 IMG 3.2190291677e-03
20260514_172033 ManualRun 0 0.206001 0.212051 363157894 S21 REAL 1.0358401367e+04
20260514_172033 ManualRun 0 0.206001 0.212051 363157894 S21 IMG 9.5410371094e+03
20260514_172033 ManualRun 0 0.212085 0.223316 407894736 S11 REAL 9.9751228094e-01
20260514_172033 ManualRun 0 0.212085 0.223316 407894736 S11 IMG 5.0806100480e-03
20260514_172033 ManualRun 0 0.212085 0.223316 407894736 S21 REAL 4.3924472656e+03
20260514_172033 ManualRun 0 0.212085 0.223316 407894736 S21 IMG -3.0199340820e+03
20260514_172033 ManualRun 0 0.223352 0.229763 452631578 S11 REAL 9.9788695574e-01
20260514_172033 ManualRun 0 0.223352 0.229763 452631578 S11 IMG 2.5759369601e-03
20260514_172033 ManualRun 0 0.223352 0.229763 452631578 S21 REAL -3.5578857422e+03
20260514_172033 ManualRun 0 0.223352 0.229763 452631578 S21 IMG 3.5656240234e+03
20260514_172033 ManualRun 0 0.229815 0.236349 497368420 S11 REAL 9.9715590477e-01
20260514_172033 ManualRun 0 0.229815 0.236349 497368420 S11 IMG 4.9055814743e-03
20260514_172033 ManualRun 0 0.229815 0.236349 497368420 S21 REAL 4.9913647461e+03
20260514_172033 ManualRun 0 0.229815 0.236349 497368420 S21 IMG 3.1067355957e+03
20260514_172033 ManualRun 0 0.236371 0.242434 542105262 S11 REAL 9.9600470066e-01
20260514_172033 ManualRun 0 0.236371 0.242434 542105262 S11 IMG 6.9463802502e-03
20260514_172033 ManualRun 0 0.236371 0.242434 542105262 S21 REAL 2.3292746582e+03
20260514_172033 ManualRun 0 0.236371 0.242434 542105262 S21 IMG -1.6527504883e+03
20260514_172033 ManualRun 0 0.242453 0.247512 586842104 S11 REAL 9.9527835846e-01
20260514_172033 ManualRun 0 0.242453 0.247512 586842104 S11 IMG 6.9854650646e-03
20260514_172033 ManualRun 0 0.242453 0.247512 586842104 S21 REAL 1.6675804138e+01
20260514_172033 ManualRun 0 0.242453 0.247512 586842104 S21 IMG -1.4442966309e+03
20260514_172033 ManualRun 0 0.247529 0.257869 631578946 S11 REAL 9.9658828974e-01
20260514_172033 ManualRun 0 0.247529 0.257869 631578946 S11 IMG 1.0854545049e-02
20260514_172033 ManualRun 0 0.247529 0.257869 631578946 S21 REAL 8.1429003906e+02
20260514_172033 ManualRun 0 0.247529 0.257869 631578946 S21 IMG -2.8100764160e+03
20260514_172033 ManualRun 0 0.257895 0.264087 676315788 S11 REAL 9.9673157930e-01
20260514_172033 ManualRun 0 0.257895 0.264087 676315788 S11 IMG 8.8636651635e-03
20260514_172033 ManualRun 0 0.257895 0.264087 676315788 S21 REAL -3.6352734375e+02
20260514_172033 ManualRun 0 0.257895 0.264087 676315788 S21 IMG -4.6844375000e+03
20260514_172033 ManualRun 0 0.264133 0.270067 721052630 S11 REAL 9.9734121561e-01
20260514_172033 ManualRun 0 0.264133 0.270067 721052630 S11 IMG 9.5009980723e-03
20260514_172033 ManualRun 0 0.264133 0.270067 721052630 S21 REAL 3.5682232666e+02
20260514_172033 ManualRun 0 0.264133 0.270067 721052630 S21 IMG -2.3087097168e+03
20260514_172033 ManualRun 0 0.270078 0.275915 765789472 S11 REAL 9.9179202318e-01
20260514_172033 ManualRun 0 0.270078 0.275915 765789472 S11 IMG 1.1997765861e-02
20260514_172033 ManualRun 0 0.270078 0.275915 765789472 S21 REAL 2.2069406738e+03
20260514_172033 ManualRun 0 0.270078 0.275915 765789472 S21 IMG -8.1593798828e+03
20260514_172033 ManualRun 0 0.275924 0.281102 810526314 S11 REAL 9.8627483845e-01
20260514_172033 ManualRun 0 0.275924 0.281102 810526314 S11 IMG 1.1130468920e-02
20260514_172033 ManualRun 0 0.275924 0.281102 810526314 S21 REAL 3.2528696289e+03
20260514_172033 ManualRun 0 0.275924 0.281102 810526314 S21 IMG -5.8128863525e+02
20260514_172033 ManualRun 0 0.281112 0.286263 855263156 S11 REAL 9.8693984747e-01
20260514_172033 ManualRun 0 0.281112 0.286263 855263156 S11 IMG 1.3459863141e-02
20260514_172033 ManualRun 0 0.281112 0.286263 855263156 S21 REAL 1.8250478516e+03
20260514_172033 ManualRun 0 0.281112 0.286263 855263156 S21 IMG 1.7761160889e+03
[Producer] Starting sweep 3/5
20260514_172033 ManualRun 0 0.286272 0.296445 899999998 S11 REAL 9.7953295708e-01
20260514_172033 ManualRun 0 0.286272 0.296445 899999998 S11 IMG 1.2281775475e-02
20260514_172033 ManualRun 0 0.286272 0.296445 899999998 S21 REAL 5.1855487061e+02
20260514_172033 ManualRun 0 0.286272 0.296445 899999998 S21 IMG -5.3202178955e+02
20260514_172033 ManualRun 0 0.296459 0.306836 50000000 S11 REAL 1.0028491020e+00
20260514_172033 ManualRun 0 0.296459 0.306836 50000000 S11 IMG 1.8424078589e-03
20260514_172033 ManualRun 0 0.296459 0.306836 50000000 S21 REAL -1.4163750977e+04
20260514_172033 ManualRun 0 0.296459 0.306836 50000000 S21 IMG 1.9279577637e+03
20260514_172033 ManualRun 0 0.306856 0.311819 94736842 S11 REAL 1.0025180578e+00
20260514_172033 ManualRun 0 0.306856 0.311819 94736842 S11 IMG 1.4242104953e-04
20260514_172033 ManualRun 0 0.306856 0.311819 94736842 S21 REAL 1.0232726562e+04
20260514_172033 ManualRun 0 0.306856 0.311819 94736842 S21 IMG -9.6941767578e+03
20260514_172033 ManualRun 0 0.311837 0.322124 139473684 S11 REAL 1.0034544468e+00
20260514_172033 ManualRun 0 0.311837 0.322124 139473684 S11 IMG 1.6965235118e-03
20260514_172033 ManualRun 0 0.311837 0.322124 139473684 S21 REAL -5.7596665039e+03
20260514_172033 ManualRun 0 0.311837 0.322124 139473684 S21 IMG -7.6332934570e+03
20260514_172033 ManualRun 0 0.322151 0.328353 184210526 S11 REAL 1.0024397373e+00
20260514_172033 ManualRun 0 0.322151 0.328353 184210526 S11 IMG 3.6839784589e-03
20260514_172033 ManualRun 0 0.322151 0.328353 184210526 S21 REAL 1.2882670898e+03
20260514_172033 ManualRun 0 0.322151 0.328353 184210526 S21 IMG -2.3510228516e+04
20260514_172033 ManualRun 0 0.328378 0.334363 228947368 S11 REAL 1.0013617277e+00
20260514_172033 ManualRun 0 0.328378 0.334363 228947368 S11 IMG 5.9105297551e-03
20260514_172033 ManualRun 0 0.328378 0.334363 228947368 S21 REAL 2.8874628906e+03
20260514_172033 ManualRun 0 0.328378 0.334363 228947368 S21 IMG -6.4400556641e+03
20260514_172033 ManualRun 0 0.334387 0.339430 273684210 S11 REAL 1.0013027191e+00
20260514_172033 ManualRun 0 0.334387 0.339430 273684210 S11 IMG 5.4793721065e-03
20260514_172033 ManualRun 0 0.334387 0.339430 273684210 S21 REAL -1.1445220703e+04
20260514_172033 ManualRun 0 0.334387 0.339430 273684210 S21 IMG -1.8430019531e+04
20260514_172033 ManualRun 0 0.339454 0.350787 318421052 S11 REAL 9.9944788218e-01
20260514_172033 ManualRun 0 0.339454 0.350787 318421052 S11 IMG 3.1969761476e-03
20260514_172033 ManualRun 0 0.339454 0.350787 318421052 S21 REAL -5.8058627930e+03
20260514_172033 ManualRun 0 0.339454 0.350787 318421052 S21 IMG -4.9544985352e+03
20260514_172033 ManualRun 0 0.350823 0.356792 363157894 S11 REAL 9.9853485823e-01
20260514_172033 ManualRun 0 0.350823 0.356792 363157894 S11 IMG 3.3677113242e-03
20260514_172033 ManualRun 0 0.350823 0.356792 363157894 S21 REAL 1.0364837891e+04
20260514_172033 ManualRun 0 0.350823 0.356792 363157894 S21 IMG 9.5313056641e+03
20260514_172033 ManualRun 0 0.356816 0.368075 407894736 S11 REAL 9.9848425388e-01
20260514_172033 ManualRun 0 0.356816 0.368075 407894736 S11 IMG 3.5251069348e-03
20260514_172033 ManualRun 0 0.356816 0.368075 407894736 S21 REAL 4.3950229492e+03
20260514_172033 ManualRun 0 0.356816 0.368075 407894736 S21 IMG -3.0178959961e+03
20260514_172033 ManualRun 0 0.368104 0.374263 452631578 S11 REAL 9.9720740318e-01
20260514_172033 ManualRun 0 0.368104 0.374263 452631578 S11 IMG 3.1040164176e-03
20260514_172033 ManualRun 0 0.368104 0.374263 452631578 S21 REAL -3.5586040039e+03
20260514_172033 ManualRun 0 0.368104 0.374263 452631578 S21 IMG 3.5676503906e+03
20260514_172033 ManualRun 0 0.374284 0.380594 497368420 S11 REAL 9.9670189619e-01
20260514_172033 ManualRun 0 0.374284 0.380594 497368420 S11 IMG 4.4189845212e-03
20260514_172033 ManualRun 0 0.374284 0.380594 497368420 S21 REAL 4.9969970703e+03
20260514_172033 ManualRun 0 0.374284 0.380594 497368420 S21 IMG 3.1039475098e+03
20260514_172033 ManualRun 0 0.380649 0.386328 542105262 S11 REAL 9.9566441774e-01
20260514_172033 ManualRun 0 0.380649 0.386328 542105262 S11 IMG 5.8418819681e-03
20260514_172033 ManualRun 0 0.380649 0.386328 542105262 S21 REAL 2.3281774902e+03
20260514_172033 ManualRun 0 0.380649 0.386328 542105262 S21 IMG -1.6535693359e+03
20260514_172033 ManualRun 0 0.386338 0.391191 586842104 S11 REAL 9.9444377422e-01
20260514_172033 ManualRun 0 0.386338 0.391191 586842104 S11 IMG 6.2453220598e-03
20260514_172033 ManualRun 0 0.386338 0.391191 586842104 S21 REAL 1.7455635071e+01
20260514_172033 ManualRun 0 0.386338 0.391191 586842104 S21 IMG -1.4447763672e+03
20260514_172033 ManualRun 0 0.391202 0.401639 631578946 S11 REAL 9.9579238892e-01
20260514_172033 ManualRun 0 0.391202 0.401639 631578946 S11 IMG 9.5181204379e-03
20260514_172033 ManualRun 0 0.391202 0.401639 631578946 S21 REAL 8.1309948730e+02
20260514_172033 ManualRun 0 0.391202 0.401639 631578946 S21 IMG -2.8070336914e+03
20260514_172033 ManualRun 0 0.401657 0.408060 676315788 S11 REAL 9.9634897709e-01
20260514_172033 ManualRun 0 0.401657 0.408060 676315788 S11 IMG 9.1005396098e-03
20260514_172033 ManualRun 0 0.401657 0.408060 676315788 S21 REAL -3.5962524414e+02
20260514_172033 ManualRun 0 0.401657 0.408060 676315788 S21 IMG -4.6871699219e+03
20260514_172033 ManualRun 0 0.408077 0.413753 721052630 S11 REAL 9.9379181862e-01
20260514_172033 ManualRun 0 0.408077 0.413753 721052630 S11 IMG 1.1266345158e-02
20260514_172033 ManualRun 0 0.408077 0.413753 721052630 S21 REAL 3.5762957764e+02
20260514_172033 ManualRun 0 0.408077 0.413753 721052630 S21 IMG -2.3089291992e+03
20260514_172033 ManualRun 0 0.413765 0.419014 765789472 S11 REAL 9.9208778143e-01
20260514_172033 ManualRun 0 0.413765 0.419014 765789472 S11 IMG 1.4065570198e-02
20260514_172033 ManualRun 0 0.413765 0.419014 765789472 S21 REAL 2.2090749512e+03
20260514_172033 ManualRun 0 0.413765 0.419014 765789472 S21 IMG -8.1589892578e+03
20260514_172033 ManualRun 0 0.419035 0.424506 810526314 S11 REAL 9.8984974623e-01
20260514_172033 ManualRun 0 0.419035 0.424506 810526314 S11 IMG 1.1820734479e-02
20260514_172033 ManualRun 0 0.419035 0.424506 810526314 S21 REAL 3.2526728516e+03
20260514_172033 ManualRun 0 0.419035 0.424506 810526314 S21 IMG -5.8332025146e+02
20260514_172033 ManualRun 0 0.424519 0.430454 855263156 S11 REAL 9.8771482706e-01
20260514_172033 ManualRun 0 0.424519 0.430454 855263156 S11 IMG 1.2188778259e-02
20260514_172033 ManualRun 0 0.424519 0.430454 855263156 S21 REAL 1.8251457520e+03
20260514_172033 ManualRun 0 0.424519 0.430454 855263156 S21 IMG 1.7734790039e+03
[Producer] Starting sweep 4/5
20260514_172033 ManualRun 0 0.430465 0.441802 899999998 S11 REAL 9.8249512911e-01
20260514_172033 ManualRun 0 0.430465 0.441802 899999998 S11 IMG 6.5899579786e-03
20260514_172033 ManualRun 0 0.430465 0.441802 899999998 S21 REAL 5.1916265869e+02
20260514_172033 ManualRun 0 0.430465 0.441802 899999998 S21 IMG -5.3113830566e+02
20260514_172033 ManualRun 0 0.441828 0.452964 50000000 S11 REAL 1.0023152828e+00
20260514_172033 ManualRun 0 0.441828 0.452964 50000000 S11 IMG 2.4904769380e-03
20260514_172033 ManualRun 0 0.441828 0.452964 50000000 S21 REAL -1.4163329102e+04
20260514_172033 ManualRun 0 0.441828 0.452964 50000000 S21 IMG 1.9287343750e+03
20260514_172033 ManualRun 0 0.452984 0.458994 94736842 S11 REAL 1.0024336576e+00
20260514_172033 ManualRun 0 0.452984 0.458994 94736842 S11 IMG 2.3018273350e-04
20260514_172033 ManualRun 0 0.452984 0.458994 94736842 S21 REAL 1.0234523438e+04
20260514_172033 ManualRun 0 0.452984 0.458994 94736842 S21 IMG -9.6940429688e+03
20260514_172033 ManualRun 0 0.459007 0.470251 139473684 S11 REAL 1.0035663843e+00
20260514_172033 ManualRun 0 0.459007 0.470251 139473684 S11 IMG 2.0179322455e-03
20260514_172033 ManualRun 0 0.459007 0.470251 139473684 S21 REAL -5.7595136719e+03
20260514_172033 ManualRun 0 0.459007 0.470251 139473684 S21 IMG -7.6339287109e+03
20260514_172033 ManualRun 0 0.470264 0.476426 184210526 S11 REAL 1.0023212433e+00
20260514_172033 ManualRun 0 0.470264 0.476426 184210526 S11 IMG 3.5231148358e-03
20260514_172033 ManualRun 0 0.470264 0.476426 184210526 S21 REAL 1.2874685059e+03
20260514_172033 ManualRun 0 0.470264 0.476426 184210526 S21 IMG -2.3509113281e+04
20260514_172033 ManualRun 0 0.476436 0.482379 228947368 S11 REAL 1.0014857054e+00
20260514_172033 ManualRun 0 0.476436 0.482379 228947368 S11 IMG 5.9273405932e-03
20260514_172033 ManualRun 0 0.476436 0.482379 228947368 S21 REAL 2.8873869629e+03
20260514_172033 ManualRun 0 0.476436 0.482379 228947368 S21 IMG -6.4406176758e+03
20260514_172033 ManualRun 0 0.482392 0.488450 273684210 S11 REAL 1.0010226965e+00
20260514_172033 ManualRun 0 0.482392 0.488450 273684210 S11 IMG 5.3034052253e-03
20260514_172033 ManualRun 0 0.482392 0.488450 273684210 S21 REAL -1.1445428711e+04
20260514_172033 ManualRun 0 0.482392 0.488450 273684210 S21 IMG -1.8429507812e+04
20260514_172033 ManualRun 0 0.488468 0.499898 318421052 S11 REAL 1.0003603697e+00
20260514_172033 ManualRun 0 0.488468 0.499898 318421052 S11 IMG 3.7712489720e-03
20260514_172033 ManualRun 0 0.488468 0.499898 318421052 S21 REAL -5.8065634766e+03
20260514_172033 ManualRun 0 0.488468 0.499898 318421052 S21 IMG -4.9531572266e+03
20260514_172033 ManualRun 0 0.499911 0.505998 363157894 S11 REAL 9.9898964167e-01
20260514_172033 ManualRun 0 0.499911 0.505998 363157894 S11 IMG 3.3750087023e-03
20260514_172033 ManualRun 0 0.499911 0.505998 363157894 S21 REAL 1.0354651367e+04
20260514_172033 ManualRun 0 0.499911 0.505998 363157894 S21 IMG 9.5426464844e+03
20260514_172033 ManualRun 0 0.506013 0.517246 407894736 S11 REAL 9.9806261063e-01
20260514_172033 ManualRun 0 0.506013 0.517246 407894736 S11 IMG 3.8633898366e-03
20260514_172033 ManualRun 0 0.506013 0.517246 407894736 S21 REAL 4.3970400391e+03
20260514_172033 ManualRun 0 0.506013 0.517246 407894736 S21 IMG -3.0185190430e+03
20260514_172033 ManualRun 0 0.517256 0.523534 452631578 S11 REAL 9.9746787548e-01
20260514_172033 ManualRun 0 0.517256 0.523534 452631578 S11 IMG 3.5413487349e-03
20260514_172033 ManualRun 0 0.517256 0.523534 452631578 S21 REAL -3.5575712891e+03
20260514_172033 ManualRun 0 0.517256 0.523534 452631578 S21 IMG 3.5661816406e+03
20260514_172033 ManualRun 0 0.523556 0.529402 497368420 S11 REAL 9.9635952711e-01
20260514_172033 ManualRun 0 0.523556 0.529402 497368420 S11 IMG 4.5642592013e-03
20260514_172033 ManualRun 0 0.523556 0.529402 497368420 S21 REAL 4.9946459961e+03
20260514_172033 ManualRun 0 0.523556 0.529402 497368420 S21 IMG 3.1064377441e+03
20260514_172033 ManualRun 0 0.529434 0.535472 542105262 S11 REAL 9.9554669857e-01
20260514_172033 ManualRun 0 0.529434 0.535472 542105262 S11 IMG 6.3317096792e-03
20260514_172033 ManualRun 0 0.529434 0.535472 542105262 S21 REAL 2.3288896484e+03
20260514_172033 ManualRun 0 0.529434 0.535472 542105262 S21 IMG -1.6521170654e+03
20260514_172033 ManualRun 0 0.535507 0.541590 586842104 S11 REAL 9.9469351768e-01
20260514_172033 ManualRun 0 0.535507 0.541590 586842104 S11 IMG 7.6496428810e-03
20260514_172033 ManualRun 0 0.535507 0.541590 586842104 S21 REAL 1.7147636414e+01
20260514_172033 ManualRun 0 0.535507 0.541590 586842104 S21 IMG -1.4446075439e+03
20260514_172033 ManualRun 0 0.541614 0.552750 631578946 S11 REAL 9.9444210529e-01
20260514_172033 ManualRun 0 0.541614 0.552750 631578946 S11 IMG 9.0917451307e-03
20260514_172033 ManualRun 0 0.541614 0.552750 631578946 S21 REAL 8.1419641113e+02
20260514_172033 ManualRun 0 0.541614 0.552750 631578946 S21 IMG -2.8091289062e+03
20260514_172033 ManualRun 0 0.552774 0.558761 676315788 S11 REAL 9.9690562487e-01
20260514_172033 ManualRun 0 0.552774 0.558761 676315788 S11 IMG 1.0584189557e-02
20260514_172033 ManualRun 0 0.552774 0.558761 676315788 S21 REAL -3.6440185547e+02
20260514_172033 ManualRun 0 0.552774 0.558761 676315788 S21 IMG -4.6894179688e+03
